#Long Term Test - 2017_11_13 13:27:39
#Scan parameters: DCVoltage=150V; Polarity=-; VoltageRange=auto; tbm=5; writeeachtrigger=1; maxtime=3.0
#Scan list: [106, 107, 108]
#Time after start(s)	Voltage(V)	30211132911720 - I(A)	30211132911715 - I(A)	30211132911708 - I(A)	
39.270515	150.0	1.678580e-05	5.998163e-07	1.621553e-09
45.161774	150.0	1.678374e-05	5.665641e-07	1.492791e-09
51.078774	150.0	1.633545e-05	5.687584e-07	1.331742e-09
56.994909	150.0	1.645848e-05	5.782614e-07	9.467176e-10
62.903065	150.0	1.635449e-05	5.726896e-07	1.276246e-09
68.806991	150.0	1.646429e-05	5.893414e-07	1.240398e-09
74.715096	150.0	1.615560e-05	5.676384e-07	1.182197e-09
80.631287	150.0	1.614177e-05	5.958330e-07	1.204664e-09
86.536324	150.0	1.626187e-05	6.124151e-07	1.224738e-09
