#Long Term Test - 2017_11_13 14:31:09
#Scan parameters: DCVoltage=150V; Polarity=-; VoltageRange=auto; tbm=60; writeeachtrigger=1; maxtime=3.0
#Scan list: [106, 107, 108]
#Time after start(s)	Voltage(V)	30211132911720 - I(A)	30211132911715 - I(A)	30211132911708 - I(A)	
38.720702	150.0	2.109882e-05	8.481436e-07	2.930435e-07
141.146758	150.0	0.000000e+00	4.877814e-07	2.902367e-07
201.710738	150.0	0.000000e+00	5.540867e-07	2.895479e-07
262.162344	150.0	0.000000e+00	5.923667e-07	2.890344e-07
322.618906	150.0	0.000000e+00	6.177961e-07	2.885986e-07
383.066719	150.0	0.000000e+00	7.255638e-07	2.884759e-07
443.522760	150.0	0.000000e+00	7.141504e-07	2.882421e-07
503.979867	150.0	0.000000e+00	7.470865e-07	2.879272e-07
564.435184	150.0	0.000000e+00	8.024227e-07	2.877446e-07
